USPS	GEOID	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                  
CA	06001400100	2937	1396	6882245	0	       2.657	       0.000	 37.8675947	-122.2319033                                                                                                                   
CA	06001400200	1974	915	595106	0	       0.230	       0.000	 37.8481710	-122.2495763                                                                                                                     
CA	06001400300	4865	2591	1105328	0	       0.427	       0.000	 37.8405983	-122.2544365                                                                                                                   
CA	06001400400	3703	1903	703688	0	       0.272	       0.000	 37.8482107	-122.2574628                                                                                                                    
CA	06001400500	3517	1684	588111	0	       0.227	       0.000	 37.8485167	-122.2647445                                                                                                                    
CA	06001400600	1571	757	297855	0	       0.115	       0.000	 37.8419909	-122.2648882                                                                                                                     
CA	06001400700	4206	1929	880513	0	       0.340	       0.000	 37.8417578	-122.2723135                                                                                                                    
CA	06001400800	3594	1733	695230	0	       0.268	       0.000	 37.8454493	-122.2833803                                                                                                                    
CA	06001400900	2302	1153	425163	0	       0.164	       0.000	 37.8394669	-122.2802437                                                                                                                    
CA	06001401000	5678	2658	1154123	0	       0.446	       0.000	 37.8312170	-122.2719625                                                                                                                   
CA	06001401100	4156	2147	886376	0	       0.342	       0.000	 37.8304835	-122.2638645                                                                                                                    
CA	06001401200	2416	1296	667273	0	       0.258	       0.000	 37.8305977	-122.2579072                                                                                                                    
CA	06001401300	3528	1839	855628	0	       0.330	       0.000	 37.8180997	-122.2667133                                                                                                                    
CA	06001401400	4314	1764	755873	0	       0.292	       0.000	 37.8207387	-122.2733758                                                                                                                    
CA	06001401500	2630	1244	467047	0	       0.180	       0.000	 37.8229232	-122.2806358                                                                                                                    
CA	06001401600	2163	919	636070	0	       0.246	       0.000	 37.8173716	-122.2814825                                                                                                                     
CA	06001401700	2667	1310	5802590	6131884	       2.240	       2.368	 37.8134257	-122.3193044                                                                                                             
CA	06001401800	1703	800	298697	0	       0.115	       0.000	 37.8095320	-122.2982360                                                                                                                     
CA	06001402200	2385	988	712761	0	       0.275	       0.000	 37.8063512	-122.2963076                                                                                                                     
CA	06001402400	2351	1168	337079	0	       0.130	       0.000	 37.8120310	-122.2824569                                                                                                                    
CA	06001402500	1784	747	365457	0	       0.141	       0.000	 37.8057305	-122.2847803                                                                                                                     
CA	06001402600	1151	656	318724	0	       0.123	       0.000	 37.8042711	-122.2799541                                                                                                                     
CA	06001402700	1569	731	398775	0	       0.154	       0.000	 37.8103872	-122.2769914                                                                                                                     
CA	06001402800	3345	2317	398356	0	       0.154	       0.000	 37.8087183	-122.2715003                                                                                                                    
CA	06001402900	1434	959	389352	0	       0.150	       0.000	 37.8071501	-122.2668100                                                                                                                     
CA	06001403000	2788	1732	353294	0	       0.136	       0.000	 37.8004265	-122.2707320                                                                                                                    
CA	06001403100	2238	751	346828	0	       0.134	       0.000	 37.8022742	-122.2755009                                                                                                                     
CA	06001403300	4054	2236	926037	96764	       0.358	       0.037	 37.7944308	-122.2663244                                                                                                                
CA	06001403400	4146	3071	660252	602433	       0.255	       0.233	 37.8047578	-122.2616693                                                                                                               
CA	06001403501	4374	2745	666690	0	       0.257	       0.000	 37.8177294	-122.2600769                                                                                                                    
CA	06001403502	1991	1296	182412	0	       0.070	       0.000	 37.8159606	-122.2569405                                                                                                                    
CA	06001403600	4482	2732	390100	0	       0.151	       0.000	 37.8135127	-122.2534920                                                                                                                    
CA	06001403701	2587	1915	173947	0	       0.067	       0.000	 37.8112134	-122.2586656                                                                                                                    
CA	06001403702	1724	1211	200813	0	       0.078	       0.000	 37.8095265	-122.2520804                                                                                                                    
CA	06001403800	3461	1975	656388	0	       0.253	       0.000	 37.8148343	-122.2416233                                                                                                                    
CA	06001403900	3584	2265	495325	0	       0.191	       0.000	 37.8171931	-122.2487541                                                                                                                    
CA	06001404000	2819	1831	371153	0	       0.143	       0.000	 37.8232774	-122.2536542                                                                                                                    
CA	06001404101	2929	1819	573662	0	       0.221	       0.000	 37.8300772	-122.2497952                                                                                                                    
CA	06001404102	2283	1706	230172	0	       0.089	       0.000	 37.8260219	-122.2510667                                                                                                                    
CA	06001404200	3483	1420	2728909	0	       1.054	       0.000	 37.8361078	-122.2344651                                                                                                                   
CA	06001404300	3218	1395	1830780	25272	       0.707	       0.010	 37.8451917	-122.2381008                                                                                                               
CA	06001404400	5314	2391	4124684	0	       1.593	       0.000	 37.8462442	-122.2150894                                                                                                                   
CA	06001404501	1677	710	1108548	5141	       0.428	       0.002	 37.8271275	-122.2171515                                                                                                                 
CA	06001404502	5784	2548	3071440	0	       1.186	       0.000	 37.8345259	-122.2026154                                                                                                                   
CA	06001404600	4353	1867	4887532	0	       1.887	       0.000	 37.8197458	-122.1910599                                                                                                                   
CA	06001404700	1954	825	1205965	0	       0.466	       0.000	 37.8133625	-122.2070119                                                                                                                    
CA	06001404800	2684	1288	628405	0	       0.243	       0.000	 37.8055076	-122.2131962                                                                                                                    
CA	06001404900	4129	2056	1011875	0	       0.391	       0.000	 37.8041479	-122.2215015                                                                                                                   
CA	06001405000	3136	1606	811178	0	       0.313	       0.000	 37.8121648	-122.2190899                                                                                                                    
CA	06001405100	4197	1627	1265693	0	       0.489	       0.000	 37.8114477	-122.2321836                                                                                                                   
CA	06001405200	4597	2597	854191	0	       0.330	       0.000	 37.8052604	-122.2433878                                                                                                                    
CA	06001405301	2603	1656	227753	0	       0.088	       0.000	 37.8020757	-122.2513558                                                                                                                    
CA	06001405302	2530	1561	202347	0	       0.078	       0.000	 37.7985014	-122.2542495                                                                                                                    
CA	06001405401	3957	1748	313929	0	       0.121	       0.000	 37.7965384	-122.2494562                                                                                                                    
CA	06001405402	3114	1251	285369	0	       0.110	       0.000	 37.7933319	-122.2461006                                                                                                                    
CA	06001405500	3643	1642	411721	0	       0.159	       0.000	 37.7982821	-122.2432790                                                                                                                    
CA	06001405600	3137	1511	428774	0	       0.166	       0.000	 37.8008019	-122.2372726                                                                                                                    
CA	06001405700	3243	1439	546860	0	       0.211	       0.000	 37.7982307	-122.2296737                                                                                                                    
CA	06001405800	3965	1382	519054	0	       0.200	       0.000	 37.7939452	-122.2330985                                                                                                                    
CA	06001405901	3910	1192	452587	0	       0.175	       0.000	 37.7877860	-122.2357701                                                                                                                    
CA	06001405902	3035	1001	487282	0	       0.188	       0.000	 37.7909446	-122.2409530                                                                                                                    
CA	06001406000	3450	1669	2114682	566057	       0.816	       0.219	 37.7875675	-122.2461840                                                                                                              
CA	06001406100	4381	1620	1842465	110763	       0.711	       0.043	 37.7741552	-122.2275943                                                                                                              
CA	06001406201	4649	1520	408075	0	       0.158	       0.000	 37.7850448	-122.2307360                                                                                                                    
CA	06001406202	4718	1406	392184	0	       0.151	       0.000	 37.7819786	-122.2265557                                                                                                                    
CA	06001406300	4113	1323	485745	0	       0.188	       0.000	 37.7892881	-122.2250125                                                                                                                    
CA	06001406400	2145	789	487905	77534	       0.188	       0.030	 37.7968060	-122.2217201                                                                                                                 
CA	06001406500	5930	2015	745054	0	       0.288	       0.000	 37.7880813	-122.2169867                                                                                                                    
CA	06001406601	4596	1805	747950	0	       0.289	       0.000	 37.7936085	-122.2079568                                                                                                                    
CA	06001406602	2493	964	414723	0	       0.160	       0.000	 37.7964782	-122.2143073                                                                                                                     
CA	06001406700	5048	2335	1683727	0	       0.650	       0.000	 37.8033164	-122.2022249                                                                                                                   
CA	06001406800	3428	1451	912525	0	       0.352	       0.000	 37.7978944	-122.1949575                                                                                                                    
CA	06001406900	3719	1561	872953	0	       0.337	       0.000	 37.7932754	-122.1903803                                                                                                                    
CA	06001407000	5885	2233	862396	0	       0.333	       0.000	 37.7879430	-122.2024899                                                                                                                    
CA	06001407101	3414	1096	370838	0	       0.143	       0.000	 37.7831287	-122.2143966                                                                                                                    
CA	06001407102	4351	1375	660864	0	       0.255	       0.000	 37.7807761	-122.2102385                                                                                                                    
CA	06001407200	6746	2008	715067	0	       0.276	       0.000	 37.7777848	-122.2192819                                                                                                                    
CA	06001407300	2598	811	2370936	239036	       0.915	       0.092	 37.7621786	-122.2109235                                                                                                               
CA	06001407400	3954	1186	511489	0	       0.197	       0.000	 37.7710407	-122.2067479                                                                                                                    
CA	06001407500	3931	1386	494510	0	       0.191	       0.000	 37.7695150	-122.1976091                                                                                                                    
CA	06001407600	6027	2251	1022712	0	       0.395	       0.000	 37.7775293	-122.2031992                                                                                                                   
CA	06001407700	4109	1826	918668	0	       0.355	       0.000	 37.7765228	-122.1931965                                                                                                                    
CA	06001407800	2425	783	1234579	0	       0.477	       0.000	 37.7817414	-122.1866595                                                                                                                    
CA	06001407900	2706	1198	1099393	0	       0.424	       0.000	 37.7884276	-122.1847835                                                                                                                   
CA	06001408000	2671	1058	1913253	8312	       0.739	       0.003	 37.8052370	-122.1887608                                                                                                                
CA	06001408100	5991	2714	8778279	0	       3.389	       0.000	 37.7853760	-122.1574761                                                                                                                   
CA	06001408200	4054	1819	901754	0	       0.348	       0.000	 37.7751005	-122.1755727                                                                                                                    
CA	06001408300	4167	1826	1521670	0	       0.588	       0.000	 37.7710979	-122.1645166                                                                                                                   
CA	06001408400	3323	1275	542660	0	       0.210	       0.000	 37.7646056	-122.1709595                                                                                                                    
CA	06001408500	4972	1666	831360	0	       0.321	       0.000	 37.7604176	-122.1785112                                                                                                                    
CA	06001408600	5492	1897	1061057	0	       0.410	       0.000	 37.7661964	-122.1823031                                                                                                                   
CA	06001408700	7207	2512	1131008	0	       0.437	       0.000	 37.7688611	-122.1889435                                                                                                                   
CA	06001408800	5547	1937	1204352	0	       0.465	       0.000	 37.7588039	-122.1969422                                                                                                                   
CA	06001408900	3414	1074	802407	0	       0.310	       0.000	 37.7541816	-122.1887803                                                                                                                    
CA	06001409000	3552	1071	16511371	4551892	       6.375	       1.757	 37.7200105	-122.2213677                                                                                                            
CA	06001409100	2255	664	489536	0	       0.189	       0.000	 37.7323261	-122.1834997                                                                                                                     
CA	06001409200	3152	972	723115	0	       0.279	       0.000	 37.7290846	-122.1777872                                                                                                                     
CA	06001409300	5229	1614	1076156	0	       0.416	       0.000	 37.7378510	-122.1733521                                                                                                                   
CA	06001409400	4306	1260	1253614	0	       0.484	       0.000	 37.7446130	-122.1803623                                                                                                                   
CA	06001409500	3122	1007	836608	0	       0.323	       0.000	 37.7504463	-122.1837659                                                                                                                    
CA	06001409600	5063	1561	747479	0	       0.289	       0.000	 37.7532669	-122.1726197                                                                                                                    
CA	06001409700	4696	1697	811306	0	       0.313	       0.000	 37.7564187	-122.1658929                                                                                                                    
CA	06001409800	2887	1289	1790021	0	       0.691	       0.000	 37.7603609	-122.1557636                                                                                                                   
CA	06001409900	3308	1415	4498557	0	       1.737	       0.000	 37.7619882	-122.1353845                                                                                                                   
CA	06001410000	2805	1179	6784422	139197	       2.619	       0.054	 37.7447566	-122.1332163                                                                                                              
CA	06001410100	2406	1003	784677	0	       0.303	       0.000	 37.7478642	-122.1535285                                                                                                                    
CA	06001410200	3062	1179	585845	0	       0.226	       0.000	 37.7453063	-122.1571742                                                                                                                    
CA	06001410300	3536	1044	578328	0	       0.223	       0.000	 37.7466798	-122.1661407                                                                                                                    
CA	06001410400	3792	1352	706609	0	       0.273	       0.000	 37.7408161	-122.1621741                                                                                                                    
CA	06001410500	2193	948	724054	0	       0.280	       0.000	 37.8100197	-122.2889560                                                                                                                     
CA	06001420100	2355	926	552477	0	       0.213	       0.000	 37.8947731	-122.2910214                                                                                                                     
CA	06001420200	2898	1307	462562	0	       0.179	       0.000	 37.8944611	-122.2974624                                                                                                                    
CA	06001420300	4571	2140	1302300	1111220	       0.503	       0.429	 37.8906102	-122.3182668                                                                                                             
CA	06001420400	3124	1185	1108449	1632801	       0.428	       0.630	 37.8886213	-122.3256618                                                                                                             
CA	06001420500	2308	995	416290	0	       0.161	       0.000	 37.8867059	-122.2950048                                                                                                                     
CA	06001420600	3283	1336	789428	0	       0.305	       0.000	 37.8870336	-122.2870621                                                                                                                    
CA	06001421100	1992	886	745509	0	       0.288	       0.000	 37.8994340	-122.2661928                                                                                                                     
CA	06001421200	3563	1547	1354146	1509	       0.523	       0.001	 37.8975481	-122.2752271                                                                                                                
CA	06001421300	3844	1750	1106644	0	       0.427	       0.000	 37.8911093	-122.2813663                                                                                                                   
CA	06001421400	1593	695	474781	0	       0.183	       0.000	 37.8883409	-122.2709220                                                                                                                     
CA	06001421500	3640	1647	1590672	3635	       0.614	       0.001	 37.8920346	-122.2590314                                                                                                                
CA	06001421600	3558	1707	1330318	0	       0.514	       0.000	 37.8839567	-122.2559829                                                                                                                   
CA	06001421700	3198	1679	573819	0	       0.222	       0.000	 37.8819398	-122.2701843                                                                                                                    
CA	06001421800	2007	931	528477	0	       0.204	       0.000	 37.8802854	-122.2782006                                                                                                                     
CA	06001421900	3632	1792	856778	0	       0.331	       0.000	 37.8794799	-122.2896443                                                                                                                    
CA	06001422000	1756	729	4498259	5864359	       1.737	       2.264	 37.8590327	-122.3013426                                                                                                              
CA	06001422100	2685	1255	550467	0	       0.213	       0.000	 37.8733005	-122.2965391                                                                                                                    
CA	06001422200	3144	1629	674825	0	       0.261	       0.000	 37.8728822	-122.2878154                                                                                                                    
CA	06001422300	3387	1802	560051	0	       0.216	       0.000	 37.8740723	-122.2779152                                                                                                                    
CA	06001422400	4196	2378	475569	0	       0.184	       0.000	 37.8752396	-122.2695878                                                                                                                    
CA	06001422500	4658	1711	460332	0	       0.178	       0.000	 37.8773131	-122.2603183                                                                                                                    
CA	06001422600	1215	14	1718030	0	       0.663	       0.000	 37.8738125	-122.2545472                                                                                                                     
CA	06001422700	4885	1383	344354	0	       0.133	       0.000	 37.8679125	-122.2495401                                                                                                                    
CA	06001422800	8368	1691	408570	0	       0.158	       0.000	 37.8667875	-122.2599790                                                                                                                    
CA	06001422900	4336	2171	544286	0	       0.210	       0.000	 37.8678899	-122.2692470                                                                                                                    
CA	06001423000	4396	2208	730085	0	       0.282	       0.000	 37.8668441	-122.2771352                                                                                                                    
CA	06001423100	3964	1967	748651	0	       0.289	       0.000	 37.8658070	-122.2863197                                                                                                                    
CA	06001423200	2794	1168	456777	0	       0.176	       0.000	 37.8645164	-122.2936857                                                                                                                    
CA	06001423300	3647	1745	726522	0	       0.281	       0.000	 37.8573287	-122.2842021                                                                                                                    
CA	06001423400	4685	2196	755417	0	       0.292	       0.000	 37.8583737	-122.2758840                                                                                                                    
CA	06001423500	3118	1577	635239	0	       0.245	       0.000	 37.8593650	-122.2680467                                                                                                                    
CA	06001423601	2642	1321	524803	0	       0.203	       0.000	 37.8588968	-122.2587175                                                                                                                    
CA	06001423602	5659	2716	403177	0	       0.156	       0.000	 37.8631882	-122.2592723                                                                                                                    
CA	06001423700	3633	1501	744052	0	       0.287	       0.000	 37.8618413	-122.2489230                                                                                                                    
CA	06001423800	2925	1324	1041971	0	       0.402	       0.000	 37.8547587	-122.2441385                                                                                                                   
CA	06001423901	2020	950	395033	0	       0.153	       0.000	 37.8523001	-122.2675177                                                                                                                     
CA	06001423902	1552	801	319790	0	       0.123	       0.000	 37.8547152	-122.2573724                                                                                                                     
CA	06001424001	3716	1585	510803	0	       0.197	       0.000	 37.8503526	-122.2746683                                                                                                                    
CA	06001424002	2172	998	329556	0	       0.127	       0.000	 37.8504976	-122.2815989                                                                                                                     
CA	06001425101	1596	1293	540951	1745997	       0.209	       0.674	 37.8381928	-122.3061755                                                                                                              
CA	06001425102	2807	1893	727593	0	       0.281	       0.000	 37.8400768	-122.2946582                                                                                                                    
CA	06001425103	2502	1424	881944	0	       0.341	       0.000	 37.8426202	-122.2898443                                                                                                                    
CA	06001425104	3175	2036	1075931	0	       0.415	       0.000	 37.8326526	-122.2833798                                                                                                                   
CA	06001426100	5922	2189	2991158	0	       1.155	       0.000	 37.8216214	-122.2253292                                                                                                                   
CA	06001426200	4745	1735	1353796	0	       0.523	       0.000	 37.8246260	-122.2406227                                                                                                                   
CA	06001427100	3646	1469	1025449	102516	       0.396	       0.040	 37.7651160	-122.2309908                                                                                                              
CA	06001427200	4107	1730	1329666	568335	       0.513	       0.219	 37.7847324	-122.2529164                                                                                                              
CA	06001427300	4896	2212	1952681	846538	       0.754	       0.327	 37.7810489	-122.2662775                                                                                                              
CA	06001427600	4722	1881	582864	0	       0.225	       0.000	 37.7778323	-122.2835979                                                                                                                    
CA	06001427700	4866	2429	999308	710016	       0.386	       0.274	 37.7680009	-122.2852965                                                                                                               
CA	06001427800	4640	2136	831151	0	       0.321	       0.000	 37.7714922	-122.2690581                                                                                                                    
CA	06001427900	4567	2224	825214	0	       0.319	       0.000	 37.7698045	-122.2582454                                                                                                                    
CA	06001428000	2928	1429	525763	0	       0.203	       0.000	 37.7666414	-122.2475404                                                                                                                    
CA	06001428100	4651	2056	998039	38330	       0.385	       0.015	 37.7589136	-122.2346068                                                                                                                
CA	06001428200	6259	2762	1363333	800232	       0.526	       0.309	 37.7533266	-122.2396733                                                                                                              
CA	06001428301	6526	2536	4706078	1459681	       1.817	       0.564	 37.7334484	-122.2406697                                                                                                             
CA	06001428302	7074	2728	2236214	476593	       0.863	       0.184	 37.7439709	-122.2497790                                                                                                              
CA	06001428400	4357	2013	825855	1152718	       0.319	       0.445	 37.7565930	-122.2563814                                                                                                              
CA	06001428500	3183	1558	629154	378560	       0.243	       0.146	 37.7601324	-122.2593887                                                                                                               
CA	06001428600	3271	1638	901739	1077648	       0.348	       0.416	 37.7662730	-122.2738461                                                                                                              
CA	06001428700	4119	1550	7749250	4475577	       2.992	       1.728	 37.7801283	-122.3050028                                                                                                             
CA	06001430101	6523	2269	25477062	0	       9.837	       0.000	 37.7272587	-122.0152514                                                                                                                  
CA	06001430102	2285	924	76698501	3764999	      29.613	       1.454	 37.7726562	-122.0747102                                                                                                             
CA	06001430200	6916	2525	5329284	0	       2.058	       0.000	 37.7216743	-122.0615667                                                                                                                   
CA	06001430300	3670	1354	2964586	233357	       1.145	       0.090	 37.7229094	-122.0837445                                                                                                              
CA	06001430400	2046	765	2351599	421611	       0.908	       0.163	 37.7202531	-122.1010932                                                                                                               
CA	06001430500	6049	2138	2610283	0	       1.008	       0.000	 37.7049110	-122.1091519                                                                                                                   
CA	06001430600	5887	2180	2260551	0	       0.873	       0.000	 37.7041735	-122.0969654                                                                                                                   
CA	06001430700	3814	1398	1322633	0	       0.511	       0.000	 37.7060949	-122.0822257                                                                                                                   
CA	06001430800	5394	2214	1806079	0	       0.697	       0.000	 37.6992244	-122.0650347                                                                                                                   
CA	06001430900	4681	1899	1096553	0	       0.423	       0.000	 37.6982784	-122.0828322                                                                                                                   
CA	06001431000	2714	1231	954199	0	       0.368	       0.000	 37.6929313	-122.0784575                                                                                                                    
CA	06001431100	3225	1390	982919	0	       0.380	       0.000	 37.6881143	-122.0672947                                                                                                                    
CA	06001431200	5627	2691	2021152	26007	       0.780	       0.010	 37.6855718	-122.0836768                                                                                                               
CA	06001432100	3770	1498	1077332	0	       0.416	       0.000	 37.7358429	-122.1466229                                                                                                                   
CA	06001432200	4080	1784	1023814	0	       0.395	       0.000	 37.7330544	-122.1562452                                                                                                                   
CA	06001432300	4656	1728	1038150	0	       0.401	       0.000	 37.7308826	-122.1656193                                                                                                                   
CA	06001432400	5814	1923	6437229	1351272	       2.485	       0.522	 37.7097451	-122.1898921                                                                                                             
CA	06001432501	4839	1517	1363772	0	       0.527	       0.000	 37.7167153	-122.1661575                                                                                                                   
CA	06001432502	4485	1466	819968	0	       0.317	       0.000	 37.7234343	-122.1734869                                                                                                                    
CA	06001432600	6842	3073	1673454	0	       0.646	       0.000	 37.7226922	-122.1551539                                                                                                                   
CA	06001432700	2478	1080	828606	0	       0.320	       0.000	 37.7270703	-122.1428437                                                                                                                    
CA	06001432800	3729	1497	3661599	0	       1.414	       0.000	 37.7212241	-122.1245218                                                                                                                   
CA	06001433000	3832	1478	1323537	0	       0.511	       0.000	 37.7158642	-122.1354706                                                                                                                   
CA	06001433102	3989	1386	1433093	0	       0.553	       0.000	 37.7021541	-122.1335017                                                                                                                   
CA	06001433103	3530	1547	691239	0	       0.267	       0.000	 37.7093273	-122.1390540                                                                                                                    
CA	06001433104	3760	1903	1053445	0	       0.407	       0.000	 37.7142641	-122.1469937                                                                                                                   
CA	06001433200	6897	2843	3174900	0	       1.226	       0.000	 37.7017500	-122.1470769                                                                                                                   
CA	06001433300	6834	2240	2455576	0	       0.948	       0.000	 37.6985801	-122.1574574                                                                                                                   
CA	06001433400	6305	2333	5474772	2188973	       2.114	       0.845	 37.6845280	-122.1689582                                                                                                             
CA	06001433500	4352	1425	1234823	0	       0.477	       0.000	 37.6845009	-122.1553145                                                                                                                   
CA	06001433600	5978	2164	1579636	0	       0.610	       0.000	 37.6860081	-122.1437942                                                                                                                   
CA	06001433700	3182	1076	1316778	0	       0.508	       0.000	 37.6876344	-122.1146758                                                                                                                   
CA	06001433800	7369	2573	1600719	0	       0.618	       0.000	 37.6988143	-122.1234820                                                                                                                   
CA	06001433900	6599	2352	816478	0	       0.315	       0.000	 37.6992653	-122.1135398                                                                                                                    
CA	06001434000	4884	1795	1205972	0	       0.466	       0.000	 37.6923654	-122.1103206                                                                                                                   
CA	06001435102	5179	1648	4274559	0	       1.650	       0.000	 37.6552403	-122.0458797                                                                                                                   
CA	06001435103	6403	2130	51492700	0	      19.881	       0.000	 37.6518042	-121.9830876                                                                                                                  
CA	06001435104	5216	2096	7174354	0	       2.770	       0.000	 37.6385981	-122.0389710                                                                                                                   
CA	06001435200	4140	1429	2266078	61590	       0.875	       0.024	 37.6874049	-122.0517821                                                                                                               
CA	06001435300	4479	1738	1288755	0	       0.498	       0.000	 37.6807791	-122.0646660                                                                                                                   
CA	06001435400	4503	2161	1328748	0	       0.513	       0.000	 37.6739266	-122.0831568                                                                                                                   
CA	06001435500	3725	1515	1012329	0	       0.391	       0.000	 37.6809369	-122.0933300                                                                                                                   
CA	06001435601	4902	1611	945541	0	       0.365	       0.000	 37.6746689	-122.1022655                                                                                                                    
CA	06001435602	5329	1746	1143696	0	       0.442	       0.000	 37.6819278	-122.1069995                                                                                                                   
CA	06001435700	4594	1527	1325907	0	       0.512	       0.000	 37.6786494	-122.1160735                                                                                                                   
CA	06001435800	5382	1666	1304875	0	       0.504	       0.000	 37.6793691	-122.1296018                                                                                                                   
CA	06001435900	5073	1696	2411345	17052	       0.931	       0.007	 37.6724681	-122.1473050                                                                                                               
CA	06001436000	4557	1474	1314438	0	       0.508	       0.000	 37.6691812	-122.1375262                                                                                                                   
CA	06001436100	5261	1800	1248056	0	       0.482	       0.000	 37.6718054	-122.1235777                                                                                                                   
CA	06001436200	3827	1287	644501	0	       0.249	       0.000	 37.6685048	-122.1121200                                                                                                                    
CA	06001436300	7129	2290	1831138	0	       0.707	       0.000	 37.6662740	-122.0917198                                                                                                                   
CA	06001436401	7042	3042	3116600	0	       1.203	       0.000	 37.6715227	-122.0650918                                                                                                                   
